date,temp_mean,temp_max,temp_min,pressure_mean,pressure_min,pressure_max,humidity_mean,humidity_min,humidity_max,wind_speed_mean,wind_speed_min,wind_speed_max,wind_deg_mean,wind_deg_min,wind_deg_max,clouds_all_mean,clouds_all_min,clouds_all_max,weather_id_mode,total_solar,Day
2019-03-02,9.586666666666666,14.5,4.8,1006.125,999,1013,82.25,62,96,6.137500000000002,2.1,12.3,202.91666666666666,150,250,53.333333333333336,20,90,802,6.9,60
2019-03-03,8.765,12.5,5.56,993.1666666666666,982,1000,81.54166666666667,65,98,7.679166666666668,2.6,15.4,206.66666666666666,150,250,76.66666666666667,40,90,803,6.9,61
2019-03-04,6.439583333333332,11.11,2.7,989.875,983,998,74.08333333333333,51,87,8.391666666666662,4.6,12.3,255.0,240,280,36.5,20,100,801,8.600000000000001,62
2019-03-05,6.451666666666667,12.78,1.0,999.4583333333334,998,1001,78.41666666666667,52,95,6.308333333333334,3.1,10.8,211.66666666666666,170,240,42.708333333333336,1,100,801,11.1,63
2019-03-06,10.005416666666667,14.44,7.0,987.25,982,998,89.625,82,97,7.408333333333331,5.1,9.3,175.41666666666666,150,210,64.79166666666667,20,90,802,5.1,64
2019-03-07,6.584583333333334,9.44,3.33,987.7916666666666,983,1002,81.20833333333333,66,91,8.291666666666666,4.6,13.4,251.66666666666666,220,310,57.125,20,98,802,5.3,65
2019-03-08,5.599999999999999,9.0,-1.2,1007.2083333333334,1003,1011,81.75,70,96,5.200000000000002,2.1,7.7,239.16666666666666,190,310,43.791666666666664,0,90,800,5.8,66
2019-03-09,7.414583333333333,12.0,4.0,1008.375,1003,1013,71.41666666666667,55,85,7.983333333333332,2.6,16.5,257.5,200,290,40.333333333333336,0,90,801,11.6,67
2019-03-10,4.312083333333335,8.89,0.7,1007.125,1001,1012,80.5,51,97,6.715416666666666,0.5,15.9,207.5,10,330,66.66666666666667,20,90,801,6.0,68
2019-03-11,5.847083333333334,10.56,1.11,1018.75,1012,1024,67.41666666666667,46,87,8.166666666666664,2.6,11.8,257.0833333333333,180,300,47.083333333333336,20,100,801,16.6,69
2019-03-12,6.316250000000001,11.11,3.0,1001.3333333333334,996,1015,84.91666666666667,73,93,9.08333333333333,5.1,12.3,228.75,190,320,67.5,8,90,804,16.6,70
2019-03-13,7.922083333333336,12.0,4.7,1001.5416666666666,994,1009,70.83333333333333,60,86,11.600000000000001,6.2,14.9,272.0833333333333,240,300,44.333333333333336,19,90,802,6.800000000000001,71
2019-03-14,9.020416666666668,12.78,6.0,1001.0833333333334,995,1008,70.375,47,84,9.908333333333333,4.1,14.4,265.8333333333333,240,300,57.041666666666664,15,90,801,11.2,72
2019-03-15,9.925416666666669,13.89,5.0,1003.25,999,1009,69.375,50,97,9.025,3.6,14.4,260.4166666666667,210,290,67.70833333333333,20,90,803,12.2,73
2019-03-16,9.417916666666668,13.0,4.5,996.8333333333334,990,1008,83.04166666666667,70,99,9.453750000000001,1.5,15.4,228.33333333333334,160,280,67.70833333333333,40,90,803,12.2,74
