,dt,dt_iso,timezone,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
0,1551484800,2019-03-02 00:00:00,0,6.84,3.74,6.0,7.58,1013,,,94,3.1,180,,,,,40,721,Haze,haze,50n
1,1551488400,2019-03-02 01:00:00,0,6.49,2.97,5.5,7.28,1013,,,94,3.6,180,,,,,40,721,Haze,haze,50n
2,1551492000,2019-03-02 02:00:00,0,6.32,3.43,5.5,7.22,1012,,,93,2.6,170,,,,,75,721,Haze,haze,50n
3,1551495600,2019-03-02 03:00:00,0,5.8,2.9,4.9,7.0,1011,,,96,2.6,150,,,,,75,701,Mist,mist,50n
4,1551499200,2019-03-02 04:00:00,0,6.06,2.42,4.8,7.22,1010,,,93,3.6,180,,,,,40,721,Haze,haze,50n
5,1551502800,2019-03-02 05:00:00,0,6.58,3.39,5.6,7.22,1009,,,93,3.1,170,,,,,75,803,Clouds,broken clouds,04n
6,1551506400,2019-03-02 06:00:00,0,6.75,3.31,6.0,7.78,1009,,,95,3.6,190,,,,,40,802,Clouds,scattered clouds,03n
7,1551510000,2019-03-02 07:00:00,0,6.87,4.51,6.0,7.78,1009,,,95,2.1,210,,,,,40,802,Clouds,scattered clouds,03d
8,1551513600,2019-03-02 08:00:00,0,7.48,4.2,6.8,8.33,1009,,,95,3.6,190,,,,,75,803,Clouds,broken clouds,04d
9,1551517200,2019-03-02 09:00:00,0,8.2,5.4,7.7,9.0,1008,,,94,3.1,210,,,,,90,804,Clouds,overcast clouds,04d
10,1551520800,2019-03-02 10:00:00,0,9.39,6.02,8.5,11.0,1008,,,90,4.1,210,,,,,20,801,Clouds,few clouds,02d
11,1551524400,2019-03-02 11:00:00,0,10.68,6.12,9.0,12.0,1008,,,81,5.7,220,,,,,20,801,Clouds,few clouds,02d
12,1551528000,2019-03-02 12:00:00,0,11.77,6.98,10.9,13.0,1007,,,78,6.2,230,,,,,40,802,Clouds,scattered clouds,03d
13,1551531600,2019-03-02 13:00:00,0,13.13,8.32,11.7,14.0,1006,,,71,6.2,220,,,,,20,801,Clouds,few clouds,02d
14,1551535200,2019-03-02 14:00:00,0,13.4,7.8,12.1,14.5,1005,,,68,7.2,220,,,,,40,802,Clouds,scattered clouds,03d
15,1551538800,2019-03-02 15:00:00,0,13.02,7.04,12.2,13.7,1004,,,62,7.2,230,,,,,75,803,Clouds,broken clouds,04d
